brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/files/CARB-YD6053-OLVE-24SS-Front-twist-Tank-color-Olive_17879.jpg?v=1704225156&width=1000,,,Front Twist Tank,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6031R-CARIB-24FAL-Half-Zip-Boucle-Pullover-color-Caribou_26-Edit.jpg?v=1724205757&width=1000,,,Half Zip Boucle Pullover,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD346-NUDE-24SS-Pleated-Back-Tank-color-SilverSage-Acid-Lime_18766.jpg?v=1704391516&width=1000,,,Pleated Back Tank in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD345-NUDE-24SS-Colorblock-High-Neck-Tank-color-Silversage-Acid-Lime_17500.jpg?v=1703274202&width=1000,,,Colorblock High Neck Tank,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6058-NUDE-24SS-Colorblock-Half-Zip-Top-color-Silversage-Acid-Lime_17627-Edit.jpg?v=1702950218&width=1000,,,Colorblock Half Zip Top in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD638A-SLVSGE-24SS-Short-Sleeve-pocket-Tee-color-Silversage_17780_0d4969f0-dc40-4c13-a456-b408923e98c5.jpg?v=1705618405&width=1000,,,Short Sleeve Pocket Tee,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6014H-PNK-24SS-One-Shoulder-Tank-color-Hawthorn-Rose-Heather_35567.jpg?v=1705447513&width=1000,,,One Shoulder Convertible Tank in Heather Melt,,,
,,,,//carbon38.com/cdn/shop/files/MISS-SS24SK05-MULTIMULTI-Top-color-Multicolor_37426.jpg?v=1705087075&width=1000,,,Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6070-BLUE-24SS-Ombre-Cap-Sleeve-Wrap-Tee-color-Navy-Ombre_36925.jpg?v=1705953871&width=1000,,,Ombre Cap Sleeve Wrap Tee,,,
,,,,//carbon38.com/cdn/shop/files/NORMA-ST224BPH183813-BLUEBLUMED-Super-Oversized-Boyfriend-NK-Shirt-Bodysuit-color-Misty-Blue_64664-Edit.jpg?v=1714517615&width=1000,,,Super Oversized Boyfriend NK Shirt Bodysuit,,,
